propinsi,kemitraan,umur,gender,sumber_benih,kud,kelompok
SUMATERA UTARA,0,68,1,1,0,0
SUMATERA UTARA,0,46,1,1,0,0
SUMATERA UTARA,0,56,1,1,0,0
SUMATERA UTARA,0,63,2,1,0,0
SUMATERA UTARA,0,51,1,1,0,0
SUMATERA UTARA,0,69,1,1,0,0
SUMATERA UTARA,0,61,2,1,0,0
SUMATERA UTARA,0,30,1,1,0,0
SUMATERA UTARA,0,41,1,1,0,0
SUMATERA UTARA,0,44,1,1,0,0
SUMATERA UTARA,0,50,1,1,0,0
SUMATERA UTARA,0,51,1,1,0,0
SUMATERA UTARA,0,61,1,1,0,0
SUMATERA UTARA,0,31,1,1,0,0
SUMATERA UTARA,1,29,1,1,0,0
SUMATERA UTARA,0,51,1,1,0,0
SUMATERA UTARA,0,55,1,1,0,0
SUMATERA UTARA,0,63,1,1,0,0
SUMATERA UTARA,0,72,1,1,0,0
SUMATERA UTARA,0,47,1,1,0,0
SUMATERA UTARA,0,60,1,1,0,0
SUMATERA UTARA,0,59,1,1,0,0
SUMATERA UTARA,0,57,1,1,0,0
SUMATERA UTARA,0,44,1,1,0,0
SUMATERA UTARA,0,45,1,1,0,0
SUMATERA UTARA,0,68,1,1,0,0
SUMATERA UTARA,0,24,1,1,0,0
SUMATERA UTARA,0,67,1,1,0,0
SUMATERA UTARA,0,68,1,1,0,0
SUMATERA UTARA,0,34,2,1,0,0
SUMATERA UTARA,0,42,1,1,0,0
SUMATERA UTARA,0,51,1,1,0,0
SUMATERA UTARA,0,37,1,1,0,0
SUMATERA UTARA,0,48,1,1,0,0
SUMATERA UTARA,0,57,1,0,0,0
SUMATERA UTARA,0,26,1,1,0,0
SUMATERA UTARA,0,23,1,1,0,0
SUMATERA UTARA,0,68,1,1,0,1
SUMATERA UTARA,0,28,1,1,0,0
SUMATERA UTARA,0,31,1,1,0,0
SUMATERA UTARA,0,52,1,1,0,0
SUMATERA UTARA,0,42,1,1,0,0
SUMATERA UTARA,0,26,1,1,0,1
SUMATERA UTARA,0,52,1,1,0,0
SUMATERA UTARA,0,37,1,1,0,1
SUMATERA UTARA,0,41,1,1,0,0
SUMATERA UTARA,0,28,2,1,0,0
SUMATERA UTARA,0,30,1,1,0,0
SUMATERA UTARA,0,58,1,1,0,0
SUMATERA UTARA,0,38,1,1,0,0
SUMATERA UTARA,0,44,1,1,0,0
SUMATERA UTARA,0,60,1,1,0,0
SUMATERA UTARA,0,22,1,1,0,0
SUMATERA UTARA,0,34,1,1,0,1
SUMATERA UTARA,0,50,1,1,0,1
SUMATERA UTARA,0,68,2,1,0,0
SUMATERA UTARA,0,50,1,1,0,1
SUMATERA UTARA,0,46,1,1,0,1
SUMATERA UTARA,0,47,1,1,0,1
SUMATERA UTARA,0,35,1,1,0,1
SUMATERA UTARA,0,63,1,1,0,0
SUMATERA UTARA,0,51,1,1,0,1
SUMATERA UTARA,0,27,1,1,0,1
SUMATERA UTARA,0,47,1,1,0,1
SUMATERA UTARA,0,49,1,1,0,1
SUMATERA UTARA,0,53,1,1,0,0
SUMATERA UTARA,0,60,1,1,0,0
SUMATERA UTARA,0,52,1,1,0,1
SUMATERA UTARA,0,30,1,1,0,0
SUMATERA UTARA,0,32,1,1,0,0
SUMATERA UTARA,0,58,1,1,0,1
SUMATERA UTARA,0,43,1,1,0,0
SUMATERA UTARA,0,67,1,1,0,0
SUMATERA UTARA,0,50,1,1,0,0
SUMATERA UTARA,0,36,1,1,0,1
SUMATERA UTARA,0,35,1,1,0,1
SUMATERA UTARA,0,39,1,1,0,1
SUMATERA UTARA,0,59,1,1,0,1
SUMATERA UTARA,0,44,1,1,0,0
SUMATERA UTARA,0,41,1,1,0,0
SUMATERA UTARA,0,54,1,1,0,0
SUMATERA UTARA,0,58,1,1,0,1
SUMATERA UTARA,0,43,1,1,0,1
SUMATERA UTARA,0,34,1,1,0,1
SUMATERA UTARA,0,67,2,1,0,1
SUMATERA UTARA,0,32,2,1,0,0
SUMATERA UTARA,0,48,1,1,0,1
SUMATERA UTARA,0,63,1,1,0,0
SUMATERA UTARA,0,66,1,1,0,0
SUMATERA UTARA,0,44,1,1,0,1
SUMATERA UTARA,0,49,1,1,0,0
SUMATERA UTARA,0,42,1,1,0,0
SUMATERA UTARA,0,48,2,1,0,0
SUMATERA UTARA,0,38,1,0,0,0
SUMATERA UTARA,0,41,1,0,0,0
SUMATERA UTARA,0,38,1,0,0,0
SUMATERA UTARA,0,35,1,0,0,0
SUMATERA UTARA,0,41,1,0,0,0
SUMATERA UTARA,0,41,1,1,0,1
SUMATERA UTARA,0,52,1,1,0,0
SUMATERA UTARA,0,36,1,1,0,0
SUMATERA UTARA,0,57,2,1,0,0
SUMATERA UTARA,0,50,2,1,0,0
SUMATERA UTARA,0,41,1,0,0,0
